SourceSink	Env	id
RDC_4_H31	Sink	NA	1
RDC_6_EB12	Sink	NA	2
RDC_2_H8	Sink	NA	3
RDC_6_H68	Sink	NA	4
RDC_2_H6	Sink	NA	5
RDC_2_H11	Sink	NA	6
RDC_5_H57	Sink	NA	7
RDC_4_EB7	Sink	NA	8
RDC_2_H3	Sink	NA	9
RDC_5_H48	Sink	NA	10
RDC_6_H71	Sink	NA	11
RDC_6_S8	Sink	NA	12
RDC_4_EB8	Sink	NA	13
RDC_5_H43	Sink	NA	14
RDC_3_H15	Sink	NA	15
RDC_6_LP_B12	Sink	NA	16
RDC_3_S4	Sink	NA	17
RDC_5_H46	Sink	NA	18
RDC_4_H30	Sink	NA	19
RDC_4_H40	Sink	NA	20
RDC_6_EB11	Sink	NA	21
RDC_3_H23	Sink	NA	22
RDC_2_S3	Sink	NA	23
RDC_3_H22	Sink	NA	24
RDC_3_H14	Sink	NA	25
RDC_5_H55	Sink	NA	26
RDC_4_S5	Sink	NA	27
RDC_6_H62	Sink	NA	28
RDC_5_H52	Sink	NA	29
RDC_4_H29	Sink	NA	30
RDC_4_H33	Sink	NA	31
RDC_4_H32	Sink	NA	32
RDC_1_S2	Sink	NA	33
RDC_5_EB9	Sink	NA	34
RDC_6_H65	Sink	NA	35
RDC_2_H5	Sink	NA	36
RDC_4_H41	Sink	NA	37
RDC_5_H58	Sink	NA	38
RDC_4_H38	Sink	NA	39
RDC_3_EB6	Sink	NA	40
RDC_6_H67	Sink	NA	41
RDC_4_H28	Sink	NA	42
RDC_5_LP_B10	Sink	NA	43
RDC_2_LP_B4	Sink	NA	44
RDC_5_H44	Sink	NA	45
RDC_4_H26	Sink	NA	46
RDC_5_H54	Sink	NA	47
RDC_6_H66	Sink	NA	48
RDC_3_H13	Sink	NA	49
RDC_4_H37	Sink	NA	50
RDC_2_H10	Sink	NA	51
RDC_1_H1	Sink	NA	52
RDC_4_H39	Sink	NA	53
RDC_1_EB2	Sink	NA	54
RDC_2_H4	Sink	NA	55
RDC_5_H49	Sink	NA	56
RDC_2_H7	Sink	NA	57
RDC_3_H16	Sink	NA	58
RDC_6_H69	Sink	NA	59
RDC_2_EB3	Sink	NA	60
RDC_4_S6	Sink	NA	61
RDC_6_H63	Sink	NA	62
RDC_5_H56	Sink	NA	63
RDC_5_S7	Sink	NA	64
RDC_6_H64	Sink	NA	65
RDC_1_H2	Sink	NA	66
RDC_5_EB10	Sink	NA	67
RDC_5_H53	Sink	NA	68
RDC_5_H50	Sink	NA	69
RDC_3_H18	Sink	NA	70
RDC_6_H70	Sink	NA	71
RDC_3_H21	Sink	NA	72
RDC_1_S1	Sink	NA	73
RDC_5_H61	Sink	NA	74
RDC_4_H42	Sink	NA	75
RDC_3_H12	Sink	NA	76
RDC_5_H51	Sink	NA	77
RDC_4_H35	Sink	NA	78
RDC_6_H72	Sink	NA	79
RDC_4_H25	Sink	NA	80
RDC_3_H17	Sink	NA	81
RDC_3_H24	Sink	NA	82
RDC_5_H59	Sink	NA	83
RDC_3_H20	Sink	NA	84
RDC_5_H47	Sink	NA	85
RDC_5_H45	Sink	NA	86
RDC_4_H27	Sink	NA	87
RDC_3_EB5	Sink	NA	88
RDC_2_H9	Sink	NA	89
RDC_3_H19	Sink	NA	90
RDC_5_H60	Sink	NA	91
RDC_4_H34	Sink	NA	92
RDC_4_H36	Sink	NA	93
SRX3830154	Source	oral	NA
SRX4318863	Source	oral	NA
SRX024173	Source	human_gut	NA
SRX024148	Source	human_gut	NA
ERR584333	Source	labcontam	NA
SRX024023	Source	human_gut	NA
SRX3830174	Source	oral	NA
SRX024200	Source	oral	NA
SRX023994	Source	human_gut	NA
ERR584348	Source	labcontam	NA
SRX4318860	Source	oral	NA
ERR584320	Source	labcontam	NA
SRS727524	Source	human_skin	NA
SRS728264	Source	human_skin	NA
SRX740589	Source	human_skin	NA
SRX3830184	Source	oral	NA
SRX740562	Source	human_skin	NA
SRX025192	Source	oral	NA
SRX3830126	Source	oral	NA
SRX740632	Source	human_skin	NA
SRX025193	Source	oral	NA
SRX101411	Source	oral	NA
SRX3830225	Source	oral	NA
SRX4318858	Source	oral	NA
ERR584341	Source	labcontam	NA
SRR5823608	Source	soil	NA
SRR5823606	Source	soil	NA
SRR5823609	Source	soil	NA
SRR5823611	Source	soil	NA
